Region,Other,IT projects,Football academy,Technical centre,Football pitch,Headquarters,TotalBudget,n
ASIA (EX. NEAR EAST),9481717,900000,5040496,19759783,13329807,13541930,62053733,96
BALTICS,400000,,1100000,3017839,2686772,4807390,12012001,14
C.W. OF IND. STATES,414870,,911300,7171235,14131078,4988700,27617183,31
EASTERN EUROPE,1395000,400000,,40822295,3470995,11544588,57632878,31
LATIN AMER. & CARIB,7986272,400000,3358219,43245342,11351675,13715848,80057356,139
NEAR EAST,5748990,1825000,800000,10938802,10308574,7836011,37457377,45
NORTHERN AFRICA,,,,5086795,1174001,4077056,10337852,12
NORTHERN AMERICA,399729,,,,2177970,800497,3378196,7
OCEANIA,2176869,,2161184,7251590,9800333,7018281,28408257,45
SUB-SAHARAN AFRICA,6155207,,2468696,37336535,24451145,22452812,92864395,179
WESTERN EUROPE,6031000,8422598,5200906,15100000,3853925,51373036,89981465,49
