Region,Football.academy,Football.pitch,Football.turf.pitch,Headquarters,IT.projects,Other,Technical.centre,Training.centre
ASIA (EX. NEAR EAST),5040496,12229813,1099994,13941930,900000,9481717,19759783,0
BALTICS,1100000,1931722,755050,4807390,0,400000,3017839,0
C.W. OF IND. STATES,411300,14131078,0,4988700,0,414870,7171235,500000
EASTERN EUROPE,0,970995,2500000,11544588,400000,1395000,40822295,0
LATIN AMER. & CARIB,2430157,11351675,0,13715848,400000,7986272,43745342,928062
NEAR EAST,800000,10308574,0,7836011,1825000,5748990,10938802,0
NORTHERN AFRICA,0,1174001,0,4077056,0,0,5086795,0
NORTHERN AMERICA,0,2177970,0,800497,0,399729,0,0
OCEANIA,2839273,10200315,0,7018281,0,2176869,9677061,0
SUB-SAHARAN AFRICA,1916637,22829829,1621316,22452812,0,6155207,37336535,552059
WESTERN EUROPE,3616906,4439925,0,51373036,8422598,7958218,15100000,1584000
